owner,repo,week,commits,pulled_at
Panniantong,Agent-Reach,1762038000,0,2026-07-28
Panniantong,Agent-Reach,1762646400,0,2026-07-28
Panniantong,Agent-Reach,1763251200,0,2026-07-28
Panniantong,Agent-Reach,1763856000,0,2026-07-28
Panniantong,Agent-Reach,1764460800,0,2026-07-28
Panniantong,Agent-Reach,1765065600,0,2026-07-28
Panniantong,Agent-Reach,1765670400,0,2026-07-28
Panniantong,Agent-Reach,1766275200,0,2026-07-28
Panniantong,Agent-Reach,1766880000,0,2026-07-28
Panniantong,Agent-Reach,1767484800,0,2026-07-28
Panniantong,Agent-Reach,1768089600,0,2026-07-28
Panniantong,Agent-Reach,1768694400,0,2026-07-28
Panniantong,Agent-Reach,1769299200,0,2026-07-28
Panniantong,Agent-Reach,1769904000,0,2026-07-28
Panniantong,Agent-Reach,1770508800,0,2026-07-28
Panniantong,Agent-Reach,1771113600,0,2026-07-28
Panniantong,Agent-Reach,1771718400,107,2026-07-28
Panniantong,Agent-Reach,1772323200,20,2026-07-28
Panniantong,Agent-Reach,1772928000,40,2026-07-28
Panniantong,Agent-Reach,1773532800,4,2026-07-28
Panniantong,Agent-Reach,1774137600,12,2026-07-28
Panniantong,Agent-Reach,1774742400,24,2026-07-28
Panniantong,Agent-Reach,1775347200,0,2026-07-28
Panniantong,Agent-Reach,1775952000,7,2026-07-28
Panniantong,Agent-Reach,1776556800,0,2026-07-28
Panniantong,Agent-Reach,1777161600,0,2026-07-28
Panniantong,Agent-Reach,1777766400,0,2026-07-28
Panniantong,Agent-Reach,1778371200,0,2026-07-28
Panniantong,Agent-Reach,1778976000,0,2026-07-28
Panniantong,Agent-Reach,1779580800,0,2026-07-28
Panniantong,Agent-Reach,1780185600,0,2026-07-28
Panniantong,Agent-Reach,1780790400,40,2026-07-28
Panniantong,Agent-Reach,1781395200,5,2026-07-28
Panniantong,Agent-Reach,1782000000,1,2026-07-28
Panniantong,Agent-Reach,1782604800,7,2026-07-28
Panniantong,Agent-Reach,1783209600,1,2026-07-28
Panniantong,Agent-Reach,1783814400,0,2026-07-28
Panniantong,Agent-Reach,1784419200,15,2026-07-28
Panniantong,Agent-Reach,1785024000,0,2026-07-28
Aider-AI,aider,1754179200,41,2026-07-28
Aider-AI,aider,1754784000,16,2026-07-28
Aider-AI,aider,1755388800,1,2026-07-28
Aider-AI,aider,1755993600,1,2026-07-28
Aider-AI,aider,1756598400,7,2026-07-28
Aider-AI,aider,1757203200,0,2026-07-28
Aider-AI,aider,1757808000,1,2026-07-28
Aider-AI,aider,1758412800,2,2026-07-28
Aider-AI,aider,1759017600,12,2026-07-28
Aider-AI,aider,1759622400,2,2026-07-28
Aider-AI,aider,1760227200,0,2026-07-28
Aider-AI,aider,1760832000,0,2026-07-28
Aider-AI,aider,1761436800,0,2026-07-28
Aider-AI,aider,1762041600,4,2026-07-28
Aider-AI,aider,1762646400,0,2026-07-28
Aider-AI,aider,1763251200,13,2026-07-28
Aider-AI,aider,1763856000,0,2026-07-28
Aider-AI,aider,1764460800,2,2026-07-28
Aider-AI,aider,1765065600,2,2026-07-28
Aider-AI,aider,1765670400,10,2026-07-28
Aider-AI,aider,1766275200,0,2026-07-28
Aider-AI,aider,1766880000,0,2026-07-28
Aider-AI,aider,1767484800,2,2026-07-28
Aider-AI,aider,1768089600,1,2026-07-28
Aider-AI,aider,1768694400,1,2026-07-28
Aider-AI,aider,1769299200,0,2026-07-28
Aider-AI,aider,1769904000,0,2026-07-28
Aider-AI,aider,1770508800,38,2026-07-28
Aider-AI,aider,1771113600,6,2026-07-28
Aider-AI,aider,1771718400,6,2026-07-28
Aider-AI,aider,1772323200,5,2026-07-28
Aider-AI,aider,1772928000,2,2026-07-28
Aider-AI,aider,1773532800,23,2026-07-28
Aider-AI,aider,1774137600,0,2026-07-28
Aider-AI,aider,1774742400,0,2026-07-28
Aider-AI,aider,1775347200,1,2026-07-28
Aider-AI,aider,1775952000,1,2026-07-28
Aider-AI,aider,1776556800,20,2026-07-28
Aider-AI,aider,1777161600,0,2026-07-28
Aider-AI,aider,1777766400,0,2026-07-28
Aider-AI,aider,1778371200,2,2026-07-28
Aider-AI,aider,1778976000,3,2026-07-28
Aider-AI,aider,1779580800,0,2026-07-28
Aider-AI,aider,1780185600,0,2026-07-28
Aider-AI,aider,1780790400,0,2026-07-28
Aider-AI,aider,1781395200,0,2026-07-28
Aider-AI,aider,1782000000,0,2026-07-28
Aider-AI,aider,1782604800,0,2026-07-28
Aider-AI,aider,1783209600,0,2026-07-28
Aider-AI,aider,1783814400,0,2026-07-28
Aider-AI,aider,1784419200,0,2026-07-28
Aider-AI,aider,1785024000,0,2026-07-28
httpie,cli,1754179200,0,2026-07-28
httpie,cli,1754784000,0,2026-07-28
httpie,cli,1755388800,0,2026-07-28
httpie,cli,1755993600,0,2026-07-28
httpie,cli,1756598400,0,2026-07-28
httpie,cli,1757203200,0,2026-07-28
httpie,cli,1757808000,0,2026-07-28
httpie,cli,1758412800,0,2026-07-28
httpie,cli,1759017600,0,2026-07-28
httpie,cli,1759622400,0,2026-07-28
httpie,cli,1760227200,0,2026-07-28
httpie,cli,1760832000,0,2026-07-28
httpie,cli,1761436800,0,2026-07-28
httpie,cli,1762041600,0,2026-07-28
httpie,cli,1762646400,0,2026-07-28
httpie,cli,1763251200,0,2026-07-28
httpie,cli,1763856000,0,2026-07-28
httpie,cli,1764460800,0,2026-07-28
httpie,cli,1765065600,0,2026-07-28
httpie,cli,1765670400,0,2026-07-28
httpie,cli,1766275200,0,2026-07-28
httpie,cli,1766880000,0,2026-07-28
httpie,cli,1767484800,0,2026-07-28
httpie,cli,1768089600,0,2026-07-28
httpie,cli,1768694400,0,2026-07-28
httpie,cli,1769299200,0,2026-07-28
httpie,cli,1769904000,0,2026-07-28
httpie,cli,1770508800,0,2026-07-28
httpie,cli,1771113600,0,2026-07-28
httpie,cli,1771718400,0,2026-07-28
httpie,cli,1772323200,0,2026-07-28
httpie,cli,1772928000,0,2026-07-28
httpie,cli,1773532800,0,2026-07-28
httpie,cli,1774137600,0,2026-07-28
httpie,cli,1774742400,0,2026-07-28
httpie,cli,1775347200,0,2026-07-28
httpie,cli,1775952000,0,2026-07-28
httpie,cli,1776556800,0,2026-07-28
httpie,cli,1777161600,0,2026-07-28
httpie,cli,1777766400,0,2026-07-28
httpie,cli,1778371200,0,2026-07-28
httpie,cli,1778976000,0,2026-07-28
httpie,cli,1779580800,0,2026-07-28
httpie,cli,1780185600,0,2026-07-28
httpie,cli,1780790400,0,2026-07-28
httpie,cli,1781395200,0,2026-07-28
httpie,cli,1782000000,0,2026-07-28
httpie,cli,1782604800,0,2026-07-28
httpie,cli,1783209600,0,2026-07-28
httpie,cli,1783814400,0,2026-07-28
httpie,cli,1784419200,0,2026-07-28
httpie,cli,1785024000,0,2026-07-28
Textualize,textual,1754179200,27,2026-07-28
Textualize,textual,1754784000,39,2026-07-28
Textualize,textual,1755388800,27,2026-07-28
Textualize,textual,1755993600,22,2026-07-28
Textualize,textual,1756598400,49,2026-07-28
Textualize,textual,1757203200,16,2026-07-28
Textualize,textual,1757808000,11,2026-07-28
Textualize,textual,1758412800,4,2026-07-28
Textualize,textual,1759017600,61,2026-07-28
Textualize,textual,1759622400,42,2026-07-28
Textualize,textual,1760227200,0,2026-07-28
Textualize,textual,1760832000,21,2026-07-28
Textualize,textual,1761436800,22,2026-07-28
Textualize,textual,1762041600,18,2026-07-28
Textualize,textual,1762646400,30,2026-07-28
Textualize,textual,1763251200,6,2026-07-28
Textualize,textual,1763856000,8,2026-07-28
Textualize,textual,1764460800,25,2026-07-28
Textualize,textual,1765065600,16,2026-07-28
Textualize,textual,1765670400,23,2026-07-28
Textualize,textual,1766275200,0,2026-07-28
Textualize,textual,1766880000,13,2026-07-28
Textualize,textual,1767484800,25,2026-07-28
Textualize,textual,1768089600,27,2026-07-28
Textualize,textual,1768694400,1,2026-07-28
Textualize,textual,1769299200,21,2026-07-28
Textualize,textual,1769904000,1,2026-07-28
Textualize,textual,1770508800,6,2026-07-28
Textualize,textual,1771113600,16,2026-07-28
Textualize,textual,1771718400,4,2026-07-28
Textualize,textual,1772323200,15,2026-07-28
Textualize,textual,1772928000,14,2026-07-28
Textualize,textual,1773532800,3,2026-07-28
Textualize,textual,1774137600,25,2026-07-28
Textualize,textual,1774742400,10,2026-07-28
Textualize,textual,1775347200,21,2026-07-28
Textualize,textual,1775952000,3,2026-07-28
Textualize,textual,1776556800,7,2026-07-28
Textualize,textual,1777161600,16,2026-07-28
Textualize,textual,1777766400,15,2026-07-28
Textualize,textual,1778371200,36,2026-07-28
Textualize,textual,1778976000,20,2026-07-28
Textualize,textual,1779580800,0,2026-07-28
Textualize,textual,1780185600,0,2026-07-28
Textualize,textual,1780790400,0,2026-07-28
Textualize,textual,1781395200,0,2026-07-28
Textualize,textual,1782000000,16,2026-07-28
Textualize,textual,1782604800,3,2026-07-28
Textualize,textual,1783209600,1,2026-07-28
Textualize,textual,1783814400,0,2026-07-28
Textualize,textual,1784419200,0,2026-07-28
Textualize,textual,1785024000,0,2026-07-28
FujiwaraChoki,MoneyPrinterV2,1754179200,0,2026-07-28
FujiwaraChoki,MoneyPrinterV2,1754784000,0,2026-07-28
